baseline,seed,round,split,accuracy,precision,recall,f1,roc_auc,loss,runtime_s
centralized,123,10,val,0.5365005793742758,0.3781818181818182,0.026071697167209827,0.04878048780487805,0.6473766979363164,0.19338736355129393,1924.1150424999942
fedavg,123,1,val,0.020144397896425706,0.06933468603161043,0.325520180496365,0.1143196724919664,0.5031784067988673,0.669122136593375,186.81726750000234
fedavg,123,2,val,0.2312149032890632,0.12016309561880396,0.18839308097267485,0.14673435516938396,0.528286386705974,0.6438321114563986,370.2588037999958
fedavg,123,3,val,0.40155094036901684,0.17765787370103917,0.11143143645023816,0.13695886612232322,0.5443019671910804,0.6103198514954591,554.537754099998
fedavg,123,4,val,0.4696497013994117,0.21662669864108713,0.06793682627224869,0.1034351145038168,0.5552318321178872,0.558917547777934,741.3032174999971
fedavg,123,5,val,0.5183171405651128,0.22070844686648503,0.02030584106292304,0.0371900826446281,0.5640390665410598,0.4781043758095028,950.3569367999953
fedavg,123,6,val,0.5412247080844995,0.20833333333333334,0.00062672348959639,0.0012496875781054734,0.571505372925861,0.38015208889620117,1159.5222128000023
fedavg,123,7,val,0.5417595151082985,0.5,0.000250689395838556,0.0005011275369581558,0.5801600948951401,0.29465694579543444,1370.5394222999967
fedavg,123,8,val,0.5418486496122649,0.0,0.0,0.0,0.5884785706865848,0.2477919505843505,1590.0360738000018
fedavg,123,9,val,0.5418486496122649,0.0,0.0,0.0,0.5974950114929839,0.22254971558715753,1813.0977522999965
fedavg,123,10,val,0.5418486496122649,0.0,0.0,0.0,0.6046144608325121,0.2110385789621194,2029.8692192000017
fedprox,123,1,val,0.01943132186469382,0.06901214274351769,0.32627224868388066,0.11392682072829133,0.5029301981070602,0.6693156170477383,206.42767379999714
fedprox,123,2,val,0.22720385061057136,0.11933736358640182,0.1905239408373026,0.1467535602220613,0.5279513276475852,0.6442591281686941,437.0468116999982
fedprox,123,3,val,0.3990551742579553,0.17634323951977957,0.1123088493356731,0.1372233708553488,0.5439814821551293,0.6111746082034741,682.8123696999974
fedprox,123,4,val,0.4690257598716463,0.21834574676597412,0.06981699674103785,0.10580302022984138,0.5549675119532239,0.5606936560997681,917.0875498999958
fedprox,123,5,val,0.5152865674302523,0.21348314606741572,0.02143394334419654,0.038956600979610435,0.563733089271511,0.48135823220458196,1140.5331261999963
fedprox,123,6,val,0.5410464390765666,0.18518518518518517,0.00062672348959639,0.0012492192379762648,0.5711544239410759,0.3842823756060952,1368.7479260999971
fedprox,123,7,val,0.5417595151082985,0.5,0.000250689395838556,0.0005011275369581558,0.579719260533608,0.29798744279535627,1598.9676500999994
fedprox,123,8,val,0.5418486496122649,0.0,0.0,0.0,0.5879772608798272,0.2498236184228985,1823.1126029000006
